date,z_ret_1,z_ret_2,z_ret_5,z_vol_20,z_ma_10,z_ma_20,z_ma_gap,z_rsi_14,z_vol_z,z_dow,z_pca_1,z_pca_2,z_pca_3,z_pca_4,z_pca_5,z_pca_6,z_pca_7,z_pca_8,z_pca_9,z_pca_10,z_pca_11,z_pca_12,z_has_news,z_pca_1_large,z_pca_2_large,z_pca_3_large,z_pca_4_large,z_pca_5_large,z_pca_6_large,z_pca_7_large,z_pca_8_large,z_pca_9_large,z_pca_10_large,z_pca_11_large,z_pca_12_large,z_pca_13_large,z_pca_14_large,z_has_news_large,target_h1,target_h5,target_h20,Symbol
2016-08-29,0.3564936989429951,-0.18874493959216496,-0.2932136487353819,-0.857934399364662,1.2000178752719721,1.2068738360240998,-0.054753994698013266,-0.3177023841522287,-0.3381363039244745,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016501528272812,0.0030635285022668,-0.0078211191111137,SPY
2016-08-30,-0.15681377218079182,0.13406777007060505,-0.09890265073520838,-0.8999069394212894,1.2000916403708006,1.2091418782395684,-0.13860117264644473,-0.2447021744587301,-0.5753271088826543,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028479335875974,0.0046220197880222,-0.0012195149815781,SPY
2016-08-31,-0.2505006095196782,0.14761913180536557,-0.24239878576749632,-0.8953573026821003,1.1982688409907505,1.210252816140876,-0.2566636223498189,-0.9178151801813833,-0.05752259944885767,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.576683351942279e-05,0.005184704953046,-0.0074598053094199,SPY
2016-09-01,-0.024163996307531566,-0.29961774969621363,-0.15305672631768105,-0.8959854705862547,1.195562136184783,1.211160042895196,-0.26341364272969764,-0.8455445921277684,0.17682861288017937,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044980437343857,-0.0190870133461711,1.217689398380628e-05,SPY
2016-09-02,0.32407981893710897,-0.20188063541635584,-0.12426413783291015,-0.9447549634162674,1.1952491497255417,1.2113359259087502,-0.09493574047387196,-0.6813519031980698,-0.18627908530940682,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030178043492403,-0.0093396704562298,-0.0068928250632183,SPY
2016-09-06,0.2082999107157408,0.22147351372829074,0.12589248958342072,-0.9359059467947446,1.196169823209588,1.2122431855568458,0.011093434452728295,0.07843070738135932,-0.6063886352369463,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.166154152584484e-05,-0.0268372103218839,-0.0150214202265654,SPY
2016-09-07,-0.0349132337683291,0.3927542512727278,0.05164309040476293,-0.9359759338299078,1.1962433593258477,1.2130114690066478,0.0003835468939893023,-0.09253799757061193,-0.20773630244567612,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022852484225737,-0.0271211380492877,-0.0105146334697909,SPY
2016-09-08,-0.206489054755129,0.12824611481367343,0.11271880649888691,-0.9370949357633149,1.1974585043928891,1.213816873081247,-0.09391495463118364,-0.5485391971918824,-0.24014461540541843,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0242259514656977,-0.014892207839054,-0.0075337194483591,SPY
2016-09-09,-1.9226253838770995,-0.1773727696010653,0.13476987582694638,-0.5390510118908002,1.1893201695049016,1.2088456369042264,-0.9556586473319301,-1.7817468145162494,2.4539041355112206,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014245386624327,0.0054605056220404,0.0132565685674004,SPY
2016-09-12,1.0864878973363705,-1.5682498889030922,-0.8164145096802284,-0.4212459237652156,1.1875710370882928,1.206883046281028,-0.4058779242852989,-0.8469485916839036,1.4527798811851147,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0144797355164136,-0.0085971698992288,0.0042063429632301,SPY
